City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,kristiansund,63.1115,7.732,291.51,45,100,3.6,NO,1720127286
134,taoudenni,22.6783,-3.9836,312.41,21,2,6.43,ML,1720127288
135,chonchi,-42.6128,-73.8092,278.77,85,67,2.36,CL,1720127289
136,olinda,-8.0089,-34.8553,299.0,73,0,4.63,BR,1720127290
137,miquelon,47.0975,-56.3814,285.15,96,100,7.12,PM,1720127291
138,thompson,55.7435,-97.8558,297.53,26,91,3.55,CA,1720127292
139,staronizhestebliyevskaya,45.3767,38.4517,296.02,61,2,3.23,RU,1720127294
140,lakatoro,-16.0999,167.4164,297.63,75,99,3.13,VU,1720127295
141,okha,53.5739,142.9478,288.39,85,73,2.23,RU,1720127296
142,ulysses,37.5814,-101.3552,302.68,47,0,6.69,US,1720127298
143,castletown,53.0281,-9.0686,285.42,90,100,4.79,IE,1720127300
144,kivioli,59.3531,26.9711,287.19,97,100,1.3,EE,1720127301
145,cole harbour,44.6724,-63.4751,291.38,81,83,1.79,CA,1720127302
146,tiksi,71.6872,128.8694,275.36,89,50,3.73,RU,1720127303
147,jayapura,-2.5333,140.7,296.81,92,87,2.33,ID,1720127304
148,isangel,-19.55,169.2667,296.21,94,75,0.0,VU,1720127306
149,san patricio,28.017,-97.5169,307.34,42,50,7.52,US,1720127307
150,kalmunai,7.4167,81.8167,299.9,79,100,5.2,LK,1720127308
151,mossel bay,-34.1831,22.146,286.08,72,6,2.78,ZA,1720127309
152,petropavlovsk-kamchatsky,53.0452,158.6483,283.48,93,75,2.0,RU,1720127310
153,visby,57.6409,18.296,287.49,94,75,4.12,SE,1720127312
154,nova sintra,14.8667,-24.7167,297.85,90,34,5.88,CV,1720127313
155,twon-brass,4.3151,6.2418,298.97,83,99,4.93,NG,1720127314
156,gumdag,39.2061,54.5906,300.47,46,0,5.4,TM,1720127315
157,velizh,55.6056,31.1967,292.6,95,72,2.24,RU,1720127316
158,sao jose da coroa grande,-8.8978,-35.1478,297.86,74,2,3.36,BR,1720127318
159,laminusa,5.5549,120.9136,300.91,72,17,0.65,PH,1720127319
160,lhokseumawe,5.1801,97.1507,298.44,85,100,1.85,ID,1720127320
161,kostrzyn,52.3985,17.2281,287.13,83,99,0.89,PL,1720127321
162,kenai,60.5544,-151.2583,292.2,65,0,8.23,US,1720127323
163,byron bay,-28.65,153.6167,284.1,81,69,5.72,AU,1720127324
164,port alfred,-33.5906,26.891,286.28,77,15,5.08,ZA,1720127325
165,alice springs,-23.7,133.8833,271.9,100,0,3.6,AU,1720127326
166,fort st. john,56.2499,-120.8529,295.34,43,5,3.74,CA,1720127327
167,alpena,45.0617,-83.4327,297.33,74,0,3.09,US,1720127329
168,talnakh,69.4865,88.3972,286.82,65,84,2.82,RU,1720127330
169,mournies,35.4764,24.0092,296.94,83,20,4.63,GR,1720127331
170,tazacorte,28.629,-17.9293,293.79,90,20,5.66,ES,1720127332
171,vorkuta,67.5,64.0,286.11,78,100,10.31,RU,1720127333
172,arkhangel'sk,64.5401,40.5433,289.21,94,0,3.0,RU,1720127335
173,kokopo,-4.352,152.2633,298.3,86,100,3.86,PG,1720127336
174,point pedro,9.8167,80.2333,300.84,85,67,6.58,LK,1720127337
175,la passe,45.5549,-0.8967,290.28,82,34,2.97,FR,1720127338
176,college,64.8569,-147.8028,287.33,86,100,3.6,US,1720127188
177,isafjordur,66.0755,-23.124,276.04,98,100,5.04,IS,1720127342
178,peniche,39.3558,-9.3811,292.75,91,0,4.73,PT,1720127343
179,margaret river,-33.95,115.0667,282.01,91,3,4.76,AU,1720127344
180,anadyr,64.75,177.4833,283.43,93,75,4.0,RU,1720127345
181,east falmouth,41.5784,-70.5586,297.8,73,0,8.75,US,1720127347
182,udachny,66.4167,112.4,285.9,53,28,0.56,RU,1720127348
183,sola,-13.8833,167.55,299.29,79,100,8.89,VU,1720127349
184,lebu,-37.6167,-73.65,281.23,63,2,8.42,CL,1720127350
185,altamont,42.2068,-121.7372,305.24,20,0,2.57,US,1720127351
186,floro,61.5996,5.0328,284.13,82,100,7.2,NO,1720127353
187,kem',64.9555,34.5793,289.25,76,99,3.27,RU,1720127354
188,kapuskasing,49.4169,-82.4331,292.97,72,95,2.78,CA,1720127355
189,st. john's,47.5649,-52.7093,290.81,85,100,0.45,CA,1720127356
190,ola,59.5833,151.2833,284.05,84,95,1.99,RU,1720127357
191,merizo village,13.2658,144.6691,301.47,92,73,4.92,GU,1720127359
192,ribeira grande,38.5167,-28.7,295.37,68,75,2.24,PT,1720127360
193,fale old settlement,-9.3852,-171.2468,301.43,78,48,8.88,TK,1720127361
194,vadso,70.0744,29.7487,288.64,76,0,4.63,NO,1720127362
195,aasiaat,68.7098,-52.8699,277.66,71,0,4.17,GL,1720127363
196,kuanda,56.3161,116.0806,292.97,80,19,0.5,RU,1720127367
197,kalemie,-5.9475,29.1947,295.1,53,9,0.79,CD,1720127368
198,minas de marcona,-15.2119,-75.1103,288.74,63,9,3.78,PE,1720127369
199,el tigre,8.8875,-64.2454,302.72,59,100,3.5,VE,1720127370
200,alofi,-19.0595,-169.9187,299.09,83,40,3.6,NU,1720127372
201,broken hill,-31.95,141.4333,280.27,87,2,6.8,AU,1720127373
202,nalut,30.3333,10.85,301.52,35,0,7.96,LY,1720127374
203,valle de la pascua,9.2155,-66.0073,301.0,84,100,1.35,VE,1720127375
204,yung shue wan,22.2333,114.1167,302.41,86,8,1.89,HK,1720127376
205,carnarvon,-24.8667,113.6333,286.94,56,0,6.88,AU,1720127378
206,sangmelima,2.9333,11.9833,293.58,98,100,1.36,CM,1720127379
207,ventspils,57.3894,21.5606,286.11,94,0,1.03,LV,1720127380
208,kavieng,-2.5744,150.7967,300.12,79,100,3.45,PG,1720127381
209,longboat key,27.4125,-82.659,307.2,66,20,6.17,US,1720127382
210,atafu village,-8.5421,-172.5159,301.53,80,79,8.62,TK,1720127384
211,happy valley-goose bay,53.3168,-60.3315,296.12,51,89,5.42,CA,1720127385
212,akureyri,65.6835,-18.0878,279.01,96,100,2.32,IS,1720127386
213,malango,-2.9627,119.9001,291.65,99,85,0.82,ID,1720127387
214,chibougamau,49.9168,-74.3659,285.9,81,100,5.45,CA,1720127388
215,peterhead,57.5058,-1.7981,285.62,73,100,10.04,GB,1720127390
216,mili,6.0815,171.735,300.78,78,100,4.02,MH,1720127392
217,avarua,-21.2078,-159.775,300.18,74,75,6.17,CK,1720127393
218,mar del plata,-38.0023,-57.5575,280.98,61,0,4.63,AR,1720127395
219,kingston,17.997,-76.7936,303.87,64,100,3.59,JM,1720127303
220,afaahiti,-17.75,-149.2833,299.85,79,55,9.63,PF,1720127397
221,abu dhabi,24.4667,54.3667,306.16,66,0,1.54,AE,1720127112
222,ghanzi,-21.5667,21.7833,285.88,21,0,2.9,BW,1720127399
223,mao,39.8885,4.2658,295.46,73,0,1.03,ES,1720127401
